,,,chemicalFormula,Band gap values Clean,,,,,Reliability,,,,,,properties,references,Crystallinity value,,Band gap units,Band gap conditions,Band gap method,Morphology value,Temperature derivative of band gap value,Temperature derivative of band gap units,Temperature derivative of band gap conditions,Temperature derivative of band gap method,Color value,Electroluminescence value,Photoluminescence value,Thermoluminescence value,Phase values,Cathodoluminescence value,Mechanical luminescence value,Lasing value
394,395,,Cu2O1,2.17,,1,2.17,0,2,400,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.17'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'G25 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G25 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}]",Reflection,Thin film,,,,,,,,,,,,
395,396,,Cu2O1,2.58,,1,2.58,0,2,401,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.58'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'G25 to G12'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G25 to G12'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}]",Reflection,Thin film,,,,,,,,,,,,
396,397,,Cu2O1,2.59,,1,2.59,293,2,402,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '2.59'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}], 'method': {'name': 'Electroreflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",Electroreflection,,,,,,,,,,,,,
397,398,,Cu2O1,2.02,,1,2.02,300,2,403,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.02'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
398,399,,Cu2O1,2.02,,1,2.02,300,2,404,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.02'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
399,400,,Cu2O1,2.67,,1,2.67,300,2,405,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.67'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'G25 to G12'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G25 to G12'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
400,401,,Cu1P2,1.4,,2,1.4,300,1,406,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.4'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
401,402,,Cu1P2,1.51,,2,LSI,300,2,407,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.51'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
402,403,,Cu2S1,1.21,,1,1.21,300,1,408,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.21'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Electroluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,Thin film,,,,,,TRUE,,,,,,
403,404,,Cu2S1,1.93,,1,1.93,293,2,409,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.93'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
404,405,,Cu2S1,1.7,,1,1.7,300,2,410,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.7'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,Thin film,,,,,,,,,,,,
405,406,,Cu2S1,1.8,,1,1.8,300,2,411,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.8'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
406,407,,Cu2S1,1.84,,1,1.84,300,2,412,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.84'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Photoconduction,,,,,,,,,,,,,
407,408,,Cu2S1,1.93,,1,1.93,300,2,413,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.93'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
408,409,,Cu2S1,1.26,,1,1.26,80,2,414,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.26'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Electroluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",Reflection,Thin film,,,,,,TRUE,,,,,,
409,410,,Cu2S1,1.05,,1,1.05,300,2,415,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.05'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,Thin film,,,,,,,,,,,,
410,411,,Cu1Cl1,3.306,,1,3.306,80,1,416,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.306'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Electroluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",Absorption,Thin film,,,,,,TRUE,TRUE,,,,,
411,412,,Cu2Se1,1.23,,1,1.23,293,1,417,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.23'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
412,413,,Cu2Se1,1.23,,1,1.23,300,2,418,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.23'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
413,414,,Cu2Se1,1.29,,1,1.29,300,2,419,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.29'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Photoconduction,,,,,,,,,,,,,
414,415,,Cu2Se1,1.3,,1,1.3,300,2,420,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.3'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Electroluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,TRUE,TRUE,,,,,
415,416,,Cu1Br1,2.987,,1,2.987,80,1,421,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.987'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",Absorption,Thin film,,,,,,,TRUE,,,,,
416,417,,Cu1Br1,3.02,,1,3.02,8,2,422,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.02'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '8'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '8'}], 'units': 'K'}]",Photoconduction,Thin film,,,,,,,,,,,,
417,418,,Cu2Te1,1.08,,1,1.08,300.0 -3.00e-04,1,423,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.08'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-3.00E-04'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,Thin film,-3.00E-04,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,
418,419,,Cu2Te1,1.15,,1,1.15,.. 80.0 -3.00e-04,2,424,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.15'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-3.00E-04'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",Absorption,Thin film,-3.00E-04,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",Absorption,,,,,,,,
419,420,,Cu2Te1,1.02,,1,1.02,300,2,425,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.02'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Photoconduction,,,,,,,,,,,,,
420,421,,Cu2Te1,1.04,,1,1.04,300,2,426,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.04'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
421,422,,Cu2Te1,1.04,,1,1.04,300,2,427,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.04'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
422,423,,Cu1I1,3.07,,1,3.07,300.0 -l.OOe-04,1,428,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.07'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Estimated'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.0001'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Estimated'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Estimated,,-0.0001,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Estimated,,,TRUE,,,,,
423,424,,Cu1I1,3.047,,I,3.047,80,2,429,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.047'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",Absorption,Thin film,,,,,,,,,,,,
424,425,,Zn1O1,3.35,,1,3.35,300,1,430,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.35'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Electroluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}, {'name': 'Thermoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,TRUE,TRUE,TRUE,,,,
425,426,,Zn1O1,3.435,,1,3.435,1.2,2,431,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.435'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '1.2'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '1.2'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
